Protein IDs	Reporter intensity corrected 1 PNNL SC boost50ng_run1	Reporter intensity corrected 2 PNNL SC boost50ng_run1	Reporter intensity corrected 3 PNNL SC boost50ng_run1	Reporter intensity corrected 4 PNNL SC boost50ng_run1	Reporter intensity corrected 5 PNNL SC boost50ng_run1	Reporter intensity corrected 6 PNNL SC boost50ng_run1	Reporter intensity corrected 7 PNNL SC boost50ng_run1	Reporter intensity corrected 8 PNNL SC boost50ng_run1	Reporter intensity corrected 9 PNNL SC boost50ng_run1	Reporter intensity corrected 10 PNNL SC boost50ng_run1	Reporter intensity 1 PNNL SC boost50ng_run1	Reporter intensity 2 PNNL SC boost50ng_run1	Reporter intensity 3 PNNL SC boost50ng_run1	Reporter intensity 4 PNNL SC boost50ng_run1	Reporter intensity 5 PNNL SC boost50ng_run1	Reporter intensity 6 PNNL SC boost50ng_run1	Reporter intensity 7 PNNL SC boost50ng_run1	Reporter intensity 8 PNNL SC boost50ng_run1	Reporter intensity 9 PNNL SC boost50ng_run1	Reporter intensity 10 PNNL SC boost50ng_run1
O95336	638.81	898.09	1221.8	569.28	1226.9	837.87	1835.7	7246.3	1118.4	283550	638.81	898.09	1221.8	569.28	1226.9	837.87	1835.7	7246.3	1118.4	283550
O95399	4257.4	4091.6	5478.6	3410.6	1832.4	3219.4	0	31016	3361.3	1302000	4257.4	4091.6	5478.6	3410.6	1832.4	3219.4	0	31016	3361.3	1302000
O95433	1290.1	1695.9	2478.1	2025.1	1758.4	2747	3347.4	13179	1781.5	511500	1290.1	1695.9	2478.1	2025.1	1758.4	2747	3347.4	13179	1781.5	511500
O95777	1938.3	2380.5	1985.6	2863.2	2174.5	1528.6	1789.1	12049	2356.6	368950	1938.3	2380.5	1985.6	2863.2	2174.5	1528.6	1789.1	12049	2356.6	368950
O95816	1814	1539.1	2240.7	1515.9	1616	1191.2	2579.6	10505	1752.7	350400	1814	1539.1	2240.7	1515.9	1616	1191.2	2579.6	10505	1752.7	350400
O95831	4937.2	5469.4	5451.3	6043.3	6414.5	4082.5	4718	19260	5905.3	414470	4937.2	5469.4	5451.3	6043.3	6414.5	4082.5	4718	19260	5905.3	414470
O95837;P50148;P29992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95865	1680.8	2410.2	1696.9	1325.8	2620.2	1708	2900.5	8630.5	1673.8	240560	1680.8	2410.2	1696.9	1325.8	2620.2	1708	2900.5	8630.5	1673.8	240560
O95881	2675.2	3157.1	4812.5	1908	2838.7	3155.7	2759.7	25652	2586.9	1006500	2675.2	3157.1	4812.5	1908	2838.7	3155.7	2759.7	25652	2586.9	1006500
P00156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00167	4590.5	9706.6	9427.4	2724.4	6173.5	4129.8	5830.1	49636	5280.5	1575500	4590.5	9706.6	9427.4	2724.4	6173.5	4129.8	5830.1	49636	5280.5	1575500
P00338;Q6ZMR3;P07864;P07195	13615	13484	15684	10097	12842	21948	25572	154250	18342	6350500	13615	13484	15684	10097	12842	21948	25572	154250	18342	6350500
P00352	2531.1	3618.7	3926.5	412.36	583.77	382.24	777.38	4839.8	712.9	200340	2531.1	3618.7	3926.5	412.36	583.77	382.24	777.38	4839.8	712.9	200340
P00367;P49448	7595	10305	11841	7164.3	9576.5	8444.8	7941.8	69137	10332	2584800	7595	10305	11841	7164.3	9576.5	8444.8	7941.8	69137	10332	2584800
P00387	2620.1	2908.7	4263.7	1734.4	1300.1	2382.2	2725.6	35546	3195.2	1443100	2620.1	2908.7	4263.7	1734.4	1300.1	2382.2	2725.6	35546	3195.2	1443100
P00441	674.36	971.75	1818.4	0	1630	1733.8	1022.4	9766.5	0	317200	674.36	971.75	1818.4	0	1630	1733.8	1022.4	9766.5	0	317200
P00492	858.5	928.05	1041.9	1127.3	1721.6	1055.5	943.28	6406.8	781.91	201310	858.5	928.05	1041.9	1127.3	1721.6	1055.5	943.28	6406.8	781.91	201310
P00505	26832	36353	43221	23949	26934	30535	32766	272920	34039	10046000	26832	36353	43221	23949	26934	30535	32766	272920	34039	10046000
P00533	0	0	0	0	0	538.94	584.83	4986.8	657.49	144890	0	0	0	0	0	538.94	584.83	4986.8	657.49	144890
P00558;P07205	27887	38561	42450	29977	58442	49108	46320	360030	45499	13152000	27887	38561	42450	29977	58442	49108	46320	360030	45499	13152000
P00568	633.17	765.91	753.51	461.88	310.53	328.96	372.44	3479	856.07	127730	633.17	765.91	753.51	461.88	310.53	328.96	372.44	3479	856.07	127730
Q31610;P30486;P01889;P13747;Q95365;Q29836;Q29718;P30475;P01893;Q04826;P30485;P30461;P03989;Q31612;P30501;Q95604	1093.5	1297.6	808.06	788.83	948.13	1224.6	851.87	5706.2	1153	175820	1093.5	1297.6	808.06	788.83	948.13	1224.6	851.87	5706.2	1153	175820
P02452;CON__Q862S4;P02458	60466	68482	52184	20522	24975	24810	40181	250150	33744	8552100	60466	68482	52184	20522	24975	24810	40181	250150	33744	8552100
P02461	1105.2	2055.9	2058.5	731.5	2304.9	1432.1	1807.2	12542	1847	404760	1105.2	2055.9	2058.5	731.5	2304.9	1432.1	1807.2	12542	1847	404760
P02545;REV__Q5VX52	85941	109850	130850	95336	122310	114370	122960	647470	111160	23923000	85941	109850	130850	95336	122310	114370	122960	647470	111160	23923000
P02751	52426	70390	73139	33671	63517	60535	59088	877570	65446	31832000	52426	70390	73139	33671	63517	60535	59088	877570	65446	31832000
P02786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04040	2461.6	3097.9	2522.7	1359.1	4139.9	2780.6	2595.2	22991	2873.4	746400	2461.6	3097.9	2522.7	1359.1	4139.9	2780.6	2595.2	22991	2873.4	746400
P04075;P05062	65023	86546	85306	53615	76996	68727	164900	410600	105050	15300000	65023	86546	85306	53615	76996	68727	164900	410600	105050	15300000
P04083	34717	39821	50022	13546	18604	54989	53029	307560	28846	9287700	34717	39821	50022	13546	18604	54989	53029	307560	28846	9287700
P04181	2228.4	3006.8	4063	2204.8	28121	2345.1	8105.8	20845	62910	747230	2228.4	3006.8	4063	2204.8	28121	2345.1	8105.8	20845	62910	747230
P04264;CON__P04264;CON__P35908v2;CON__P35908;P35908	68288	67585	83204	61937	58697	96317	61334	48181	57650	501490	68288	67585	83204	61937	58697	96317	61334	48181	57650	501490
P04406	38779	44093	44869	17739	24737	26649	32360	106150	23938	4378800	38779	44093	44869	17739	24737	26649	32360	106150	23938	4378800
P04632	2128.1	1639.2	2933.8	795.08	634.08	962.43	1526.9	16792	2158.8	596880	2128.1	1639.2	2933.8	795.08	634.08	962.43	1526.9	16792	2158.8	596880
P04637	814.69	593.12	1180.5	0	909.1	573.28	632.37	10425	1889.4	415790	814.69	593.12	1180.5	0	909.1	573.28	632.37	10425	1889.4	415790
P04839	3520.8	4979.7	8356	4781.5	11831	5649.7	16804	35689	6026.7	989650	3520.8	4979.7	8356	4781.5	11831	5649.7	16804	35689	6026.7	989650
P04843	31906	48912	56564	29352	47294	29179	56522	183190	35128	6477100	31906	48912	56564	29352	47294	29179	56522	183190	35128	6477100
P04844	12500	17251	20166	8653.6	19959	11416	18308	67941	12555	2140700	12500	17251	20166	8653.6	19959	11416	18308	67941	12555	2140700
P04899	15216	20033	21019	8016.4	21845	13893	22356	108580	18434	3451100	15216	20033	21019	8016.4	21845	13893	22356	108580	18434	3451100
P05023;Q13733;P20648;P54707	47229	45444	52135	40573	62036	46863	68009	199520	57796	6904900	47229	45444	52135	40573	62036	46863	68009	199520	57796	6904900
P05091;O94788;P47895;P30837	32088	41653	54069	20762	28946	25119	30587	207180	32135	7961100	32088	41653	54069	20762	28946	25119	30587	207180	32135	7961100
P05141;Q9H0C2	44716	57533	67149	32362	37349	58963	42500	541240	49090	22679000	44716	57533	67149	32362	37349	58963	42500	541240	49090	22679000
P05198	15884	19156	20269	10691	15003	14217	16327	108760	19272	4073900	15884	19156	20269	10691	15003	14217	16327	108760	19272	4073900
P05386	2785.7	2804.9	2667.9	1979.5	926.77	1325	862.06	2028.5	0	86186	2785.7	2804.9	2667.9	1979.5	926.77	1325	862.06	2028.5	0	86186
P05387	23118	65383	25150	55024	47527	31974	32541	126440	38650	3978700	23118	65383	25150	55024	47527	31974	32541	126440	38650	3978700
P05388;Q8NHW5	29754	42893	40762	22569	28402	28777	29304	331630	34305	12181000	29754	42893	40762	22569	28402	28777	29304	331630	34305	12181000
P05455	0	843.95	984.73	0	0	578.99	0	5187.5	476.42	190450	0	843.95	984.73	0	0	578.99	0	5187.5	476.42	190450
P05556	3175.1	3474.8	2811.1	2045.7	2031.1	2689.6	3069.3	27764	3053.5	990710	3175.1	3474.8	2811.1	2045.7	2031.1	2689.6	3069.3	27764	3053.5	990710
P05976;P08590	2102.9	2049.6	2446.2	673.09	391.97	662.5	638.98	6099.9	787.18	172650	2102.9	2049.6	2446.2	673.09	391.97	662.5	638.98	6099.9	787.18	172650
P06307	26455	65390	34075	26972	39410	18224	33034	31867	21461	485300	26455	65390	34075	26972	39410	18224	33034	31867	21461	485300
P06454	4967.9	3629.4	6304.6	5796.6	9200.7	6024.7	9122	29514	7281	964350	4967.9	3629.4	6304.6	5796.6	9200.7	6024.7	9122	29514	7281	964350
P06493;P24941;Q00526	9205.4	5585.6	5511.9	4225.6	7005.4	6180.7	6498.9	37385	5443.4	1143100	9205.4	5585.6	5511.9	4225.6	7005.4	6180.7	6498.9	37385	5443.4	1143100
P06576	54968	97842	116210	41127	66794	63017	81240	668740	71187	24894000	54968	97842	116210	41127	66794	63017	81240	668740	71187	24894000
P06703	58128	63237	71229	17923	14224	15495	47707	245560	31664	12317000	58128	63237	71229	17923	14224	15495	47707	245560	31664	12317000
P06730	5232.1	3957.5	8045.5	4533.4	9849.6	4430.8	12694	28767	5897.1	1280400	5232.1	3957.5	8045.5	4533.4	9849.6	4430.8	12694	28767	5897.1	1280400
P06733	24036	32116	34431	29046	49006	47190	60145	322040	42753	12368000	24036	32116	34431	29046	49006	47190	60145	322040	42753	12368000
P06748	50599	57596	54957	28970	32674	43819	35441	305040	31737	12668000	50599	57596	54957	28970	32674	43819	35441	305040	31737	12668000
P06753	20540	19264	21868	10306	13680	10914	14529	73512	12715	2856000	20540	19264	21868	10306	13680	10914	14529	73512	12715	2856000
P06858	973.2	1723.1	1818.4	1042.1	2407.3	1323.7	2343	6852	1843.6	240100	973.2	1723.1	1818.4	1042.1	2407.3	1323.7	2343	6852	1843.6	240100
P07237;Q13087	220410	297150	315030	152390	268260	107550	168470	1145500	155360	42942000	220410	297150	315030	152390	268260	107550	168470	1145500	155360	42942000
P07305	6334.6	6231.1	7521	3207.4	3318.4	4196.9	4694	33653	6468.5	1367100	6334.6	6231.1	7521	3207.4	3318.4	4196.9	4694	33653	6468.5	1367100
P07355;A6NMY6	69101	91417	103500	30146	50200	47312	70253	578540	62274	19881000	69101	91417	103500	30146	50200	47312	70253	578540	62274	19881000
P07437;Q9BVA1;Q13885;A6NNZ2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7	320580	325950	273120	164840	336080	196100	448770	1404700	242670	21634000	320580	325950	273120	164840	336080	196100	448770	1404700	242670	21634000
P07602	1656.4	3906.7	4946.4	1795.9	3354.3	4106.1	2839.6	55726	5905	2038000	1656.4	3906.7	4946.4	1795.9	3354.3	4106.1	2839.6	55726	5905	2038000
P07737	10050	15140	9656.8	8527.2	9317.6	9839.1	5660.2	93502	16121	3173000	10050	15140	9656.8	8527.2	9317.6	9839.1	5660.2	93502	16121	3173000
P07741	5460.6	16536	5841.7	5129.2	6400	5509.9	4781.1	31779	4294.4	1211500	5460.6	16536	5841.7	5129.2	6400	5509.9	4781.1	31779	4294.4	1211500
P07814	8949.8	11366	10765	6443.2	11943	6351.7	9939	61034	8551.9	2241900	8949.8	11366	10765	6443.2	11943	6351.7	9939	61034	8551.9	2241900
P07858	1345.1	1179.6	1593	1127.8	703.18	2302.5	1511.7	10633	1257	320070	1345.1	1179.6	1593	1127.8	703.18	2302.5	1511.7	10633	1257	320070
P07900;Q14568;Q58FG0	84313	118860	104080	55955	60488	54974	94860	224160	52518	7796900	84313	118860	104080	55955	60488	54974	94860	224160	52518	7796900
P07910;P0DMR1;O60812;B7ZW38;B2RXH8	11881	11026	12263	6756.7	7941.5	12069	9958.7	109310	11593	3514500	11881	11026	12263	6756.7	7941.5	12069	9958.7	109310	11593	3514500
P07954	1888.5	3583.1	3630.2	2713.9	4555.2	2831.8	2761.2	29189	2965.6	949160	1888.5	3583.1	3630.2	2713.9	4555.2	2831.8	2761.2	29189	2965.6	949160
P07996	15940	24794	24816	14972	22140	18027	23130	165920	31667	5969500	15940	24794	24816	14972	22140	18027	23130	165920	31667	5969500
P08133	33748	39908	50651	13849	19583	24518	30820	306570	36562	11319000	33748	39908	50651	13849	19583	24518	30820	306570	36562	11319000
P08134;P61586;P62745	13770	13794	15664	7218.9	6616.6	8040.9	11488	85661	9968	3268000	13770	13794	15664	7218.9	6616.6	8040.9	11488	85661	9968	3268000
P08195	1394.5	1870.5	1772.6	977.44	1612.1	1120.8	3304.5	15414	1653.4	517110	1394.5	1870.5	1772.6	977.44	1612.1	1120.8	3304.5	15414	1653.4	517110
P08238;Q58FF7	199710	289400	237890	122530	170670	133170	172560	898120	166910	31830000	199710	289400	237890	122530	170670	133170	172560	898120	166910	31830000
P08243	1676.5	1670.1	1471.6	0	614.59	730.85	575.09	9930.2	826.41	340830	1676.5	1670.1	1471.6	0	614.59	730.85	575.09	9930.2	826.41	340830
P08559	8627.1	13277	17812	5778.2	16611	7910.9	22723	53932	11274	1951600	8627.1	13277	17812	5778.2	16611	7910.9	22723	53932	11274	1951600
P08579	8252.6	9844.2	10318	5455.3	6143.3	8593.7	7831.3	89913	10230	3371700	8252.6	9844.2	10318	5455.3	6143.3	8593.7	7831.3	89913	10230	3371700
P08621	2010	2772.5	4434.4	2479.8	3635.7	2742.3	3186.7	21922	3377.2	735560	2010	2772.5	4434.4	2479.8	3635.7	2742.3	3186.7	21922	3377.2	735560
P08670;P41219;P17661;CON__Q9DCV7;P05787;CON__Q9NSB2;CON__Q6ISB0;P14136;CON__P05787;Q9NSB2;CON__P08729;CON__Q3KNV1;P08729;CON__Q7RTT2;CON__P48668;CON__Q922U2;CON__P04259;CON__Q5XKE5;CON__H-INV:HIT000292931;CON__P07744;CON__Q8VED5;CON__Q8N1N4-2;CON__P13647;CON__P78386;CON__Q14533;CON__O95678;CON__Q01546;CON__P12035;CON__Q61726;CON__Q8BGZ7;CON__Q5XQN5;CON__P50446;O43790;CON__P78385;P04259;P13647;Q01546;P07197;P12035;P48668;P78385;CON__Q9H552;Q16352;CON__P02538;P02538;Q14533;P78386;Q8N1N4;Q5XKE5;P07196;O95678;CON__Q6NT21;CON__O43790;P12036	574210	691840	581950	105890	136230	160180	197670	1997800	170790	80524000	574210	691840	581950	105890	136230	160180	197670	1997800	170790	80524000
P08708	48344	34782	47270	30833	40538	34910	37830	82110	34092	2513600	48344	34782	47270	30833	40538	34910	37830	82110	34092	2513600
P08754;P63096;P11488;P19087;P09471;A8MTJ3;P38405	1307.3	4118.2	1926.4	2329.2	10206	1506.6	2133.4	7680.9	1188.6	221670	1307.3	4118.2	1926.4	2329.2	10206	1506.6	2133.4	7680.9	1188.6	221670
P08758	41124	89176	74765	31843	62402	47651	44400	405580	62573	15988000	41124	89176	74765	31843	62402	47651	44400	405580	62573	15988000
P08865	22346	26717	29623	16441	22453	22913	29966	186530	27821	7202000	22346	26717	29623	16441	22453	22913	29966	186530	27821	7202000
P09012	3942.8	3929.1	3250.4	3584.8	2544.3	2083.6	3036.1	6127.6	2403.1	163970	3942.8	3929.1	3250.4	3584.8	2544.3	2083.6	3036.1	6127.6	2403.1	163970
P09104	2260.2	2579	2834.5	2191.6	4749.8	3845.6	5196.4	39949	4291.5	1282100	2260.2	2579	2834.5	2191.6	4749.8	3845.6	5196.4	39949	4291.5	1282100
P09110	935.12	1535.4	744.99	866.88	846.2	1219.1	1065.1	8796.4	887.67	329490	935.12	1535.4	744.99	866.88	846.2	1219.1	1065.1	8796.4	887.67	329490
P09382	28314	23793	45875	3471.2	7350	8703.9	18515	203410	14179	8591900	28314	23793	45875	3471.2	7350	8703.9	18515	203410	14179	8591900
P09429;B2RPK0	5118.9	9207	9798.6	17465	6140.1	4927.1	14065	44644	7628.4	1667100	5118.9	9207	9798.6	17465	6140.1	4927.1	14065	44644	7628.4	1667100
P09486	6859.1	9037.4	9358	3574.8	5945	5891.9	6714.1	80903	9494.5	2340500	6859.1	9037.4	9358	3574.8	5945	5891.9	6714.1	80903	9494.5	2340500
P09493	262020	235150	269540	88106	87584	94652	82867	708170	102900	24202000	262020	235150	269540	88106	87584	94652	82867	708170	102900	24202000
P09496	853.97	1845.3	2172.5	1732.6	1197.5	923.47	1060	6185.5	1714.9	264280	853.97	1845.3	2172.5	1732.6	1197.5	923.47	1060	6185.5	1714.9	264280
P09497	317.58	304.19	0	380.93	625.14	1048.9	429.79	10860	1039.2	313150	317.58	304.19	0	380.93	625.14	1048.9	429.79	10860	1039.2	313150
P09525	16119	12645	18266	5227.6	9168.3	5778.1	10971	59534	8661.1	2208500	16119	12645	18266	5227.6	9168.3	5778.1	10971	59534	8661.1	2208500
P09622	6188.7	6844.7	8923.2	7472.8	7229.4	7725.1	7078.9	51590	6933	1637300	6188.7	6844.7	8923.2	7472.8	7229.4	7725.1	7078.9	51590	6933	1637300
P09651;Q32P51	45581	60374	49639	27337	49164	43144	48984	343540	54802	9701800	45581	60374	49639	27337	49164	43144	48984	343540	54802	9701800
P09661	1649.3	2140.3	2680.9	2910.8	1773.4	2729.1	1864.8	16311	2765.9	578900	1649.3	2140.3	2680.9	2910.8	1773.4	2729.1	1864.8	16311	2765.9	578900
P09874	3209.4	2823.2	6600.6	2244.1	8659	3592.4	3912.9	19287	3580.7	675610	3209.4	2823.2	6600.6	2244.1	8659	3592.4	3912.9	19287	3580.7	675610
P09972	438.78	399.04	544.92	324.61	410.85	268.67	428.33	5195	695.19	154660	438.78	399.04	544.92	324.61	410.85	268.67	428.33	5195	695.19	154660
Q71UI9;P0C0S5	9120	15363	13361	6721.2	11324	11391	24476	96366	15212	3483800	9120	15363	13361	6721.2	11324	11391	24476	96366	15212	3483800
Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q6FI13;P0C0S8;Q96QV6;Q8IUE6	220240	283310	272250	167820	198040	308250	287850	538490	226120	24374000	220240	283310	272250	167820	198040	308250	287850	538490	226120	24374000
P0C221	2320.3	2056.4	2406.7	1912.7	1864.3	2761.2	2349.3	16337	2270.8	660470	2320.3	2056.4	2406.7	1912.7	1864.3	2761.2	2349.3	16337	2270.8	660470
P62987;P62979;P0CG47;P0CG48	42990	52976	52089	37725	42090	45860	42951	418780	41336	16077000	42990	52976	52089	37725	42090	45860	42951	418780	41336	16077000
P0DJD0;P0DJD1;Q7Z3J3;A6NKT7;Q99666;O14715;P49792	541.55	632.1	902.26	509.02	379.9	778.45	765.78	7373.1	369.42	310550	541.55	632.1	902.26	509.02	379.9	778.45	765.78	7373.1	369.42	310550
P0DN76;Q01081;Q8WU68	11139	12150	15209	9821.5	12367	11392	18391	86172	13937	3037200	11139	12150	15209	9821.5	12367	11392	18391	86172	13937	3037200
P0DP25;P0DP24;P0DP23;P27482	15014	18607	20779	10835	14468	12164	14153	137040	21592	4847900	15014	18607	20779	10835	14468	12164	14153	137040	21592	4847900
Q9Y3L5;P61225;P10114	945.2	951.48	1159.4	758.92	2142.6	1263.6	1590.4	7899.9	2621.6	261090	945.2	951.48	1159.4	758.92	2142.6	1263.6	1590.4	7899.9	2621.6	261090
P62070;P10301	2117.8	2650.5	3366.2	1777.5	4832	1797.9	6960.4	15525	4091.3	615390	2117.8	2650.5	3366.2	1777.5	4832	1797.9	6960.4	15525	4091.3	615390
P10321;P18463;P30460;P30462;P30480;Q29865;Q29963;P30499;Q29960;Q9TNN7;P30508;P30504;P30505;P30512;P30510;Q07000;P01891;P30479;P30459;Q29940;P16190;P16188;P10316;P10314;P01892;P16189;P30466;P30492;P30493;P30453	1803.2	1428.9	3509.2	666.24	3225.5	2007.4	2193.4	19759	2930.5	762520	1803.2	1428.9	3509.2	666.24	3225.5	2007.4	2193.4	19759	2930.5	762520
P10412;P16402;P16403;Q02539;P22492	124110	138390	135660	83671	99815	131270	146700	227510	110950	7795100	124110	138390	135660	83671	99815	131270	146700	227510	110950	7795100
P10515	6224	5838.4	7218.9	4832.7	5491.3	5988.9	4527.4	56803	5557.9	2063700	6224	5838.4	7218.9	4832.7	5491.3	5988.9	4527.4	56803	5557.9	2063700
P10599	14326	13014	13565	6744.5	9803.8	7329.2	9016.4	42839	7208.1	1850700	14326	13014	13565	6744.5	9803.8	7329.2	9016.4	42839	7208.1	1850700
P10606	3900	3609.3	2792.9	2259.3	2131.2	3518.2	2604.8	28340	4077.1	945930	3900	3609.3	2792.9	2259.3	2131.2	3518.2	2604.8	28340	4077.1	945930
P10644	4673	6234.8	6442.6	981.01	4025.5	3354.8	5017.1	27239	3090.5	878830	4673	6234.8	6442.6	981.01	4025.5	3354.8	5017.1	27239	3090.5	878830
P10768	6420.6	7887.3	9140.6	7139.9	17686	8944.7	13124	80064	10827	2363000	6420.6	7887.3	9140.6	7139.9	17686	8944.7	13124	80064	10827	2363000
P10809	67745	83916	91204	52197	55543	76164	71933	593760	100300	23080000	67745	83916	91204	52197	55543	76164	71933	593760	100300	23080000
P11021	129660	188280	150770	59798	104690	88022	84935	959610	87326	35200000	129660	188280	150770	59798	104690	88022	84935	959610	87326	35200000
P11047	4582.5	2488.8	3326.5	2391.4	3395.5	3529.1	4254.1	22246	6450.5	738430	4582.5	2488.8	3326.5	2391.4	3395.5	3529.1	4254.1	22246	6450.5	738430
P11142;P54652;P34931;P0DMV9;P0DMV8	256650	485090	293040	210410	225030	225580	241710	1639600	185100	60041000	256650	485090	293040	210410	225030	225580	241710	1639600	185100	60041000
P11166	1840.4	2027.2	2108.5	1504.3	4857.7	2694.2	3972.6	12016	2509.9	433430	1840.4	2027.2	2108.5	1504.3	4857.7	2694.2	3972.6	12016	2509.9	433430
P11172	1315.8	998.02	1005.3	0	811.1	1512.1	686.98	11270	1643.3	529780	1315.8	998.02	1005.3	0	811.1	1512.1	686.98	11270	1643.3	529780
P11177	2960.1	2428.5	2871.3	1676.5	2688	2049.2	3135.8	17058	2808.4	587630	2960.1	2428.5	2871.3	1676.5	2688	2049.2	3135.8	17058	2808.4	587630
P11215;Q13349;P20702	0	0	405.12	0	329.17	942.23	530.33	6895.5	971.11	192320	0	0	405.12	0	329.17	942.23	530.33	6895.5	971.11	192320
P11279	12345	12120	14288	10711	13065	11086	12691	50375	12236	1270400	12345	12120	14288	10711	13065	11086	12691	50375	12236	1270400
P11413	14040	16446	28546	22023	34912	24741	25412	62288	21162	1432700	14040	16446	28546	22023	34912	24741	25412	62288	21162	1432700
P11498	973.94	1126.9	1679.1	666.38	1417.6	1520.3	1291.1	7247.1	1826.4	299920	973.94	1126.9	1679.1	666.38	1417.6	1520.3	1291.1	7247.1	1826.4	299920
P11586	979.42	1056.9	1190.6	988.36	777.4	1048.3	1048.3	4289.1	949.38	156620	979.42	1056.9	1190.6	988.36	777.4	1048.3	1048.3	4289.1	949.38	156620
P11766	2257.9	3158.3	3562.9	1847.9	1560.5	1251.2	2387.7	7999.3	2490.8	216960	2257.9	3158.3	3562.9	1847.9	1560.5	1251.2	2387.7	7999.3	2490.8	216960
P11940;Q9H361;Q4VXU2;Q96DU9	32176	45735	33081	23621	54791	31716	36281	218810	27223	7661000	32176	45735	33081	23621	54791	31716	36281	218810	27223	7661000
P12004	33141	28531	25779	20293	30082	33771	59726	308040	25282	11431000	33141	28531	25779	20293	30082	33771	59726	308040	25282	11431000
P49590;P12081	710.55	1196.1	1393.2	959.01	724.75	1056.1	1150.9	8800	881.42	321300	710.55	1196.1	1393.2	959.01	724.75	1056.1	1150.9	8800	881.42	321300
P12109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P12235	3923	4008.1	6112.3	1384.3	1601.9	3750	1801.6	59110	5640.9	2623100	3923	4008.1	6112.3	1384.3	1601.9	3750	1801.6	59110	5640.9	2623100
P12236	5239.5	5636.2	6988.4	1945.1	5766.8	2289.1	7366.6	25743	4628.3	996560	5239.5	5636.2	6988.4	1945.1	5766.8	2289.1	7366.6	25743	4628.3	996560
P12268	6816.7	7387.7	9915.9	6115	7830.9	8617.7	8276.7	56289	8078.6	1948100	6816.7	7387.7	9915.9	6115	7830.9	8617.7	8276.7	56289	8078.6	1948100
P12270	553.95	2855.4	3248	1505.9	1188.9	2068.9	3819.8	14977	2116.8	537050	553.95	2855.4	3248	1505.9	1188.9	2068.9	3819.8	14977	2116.8	537050
P12277	1909.2	2732.7	2606.5	2008.6	3090.2	2943.3	4473.8	21022	2826	769510	1909.2	2732.7	2606.5	2008.6	3090.2	2943.3	4473.8	21022	2826	769510
P12429	26168	30567	34457	4975.7	11574	13028	15671	129000	19432	5405900	26168	30567	34457	4975.7	11574	13028	15671	129000	19432	5405900
P12814;P35609;Q08043	46758	47453	66597	37576	51858	37999	44342	213140	54360	6803300	46758	47453	66597	37576	51858	37999	44342	213140	54360	6803300
P13591	2118.5	1586.4	2849.7	948.94	1979.8	2992.4	4783.4	13525	1650.4	427960	2118.5	1586.4	2849.7	948.94	1979.8	2992.4	4783.4	13525	1650.4	427960
P13637;P50993	818.37	1511.8	1544.9	484.32	768.08	681.43	1221.9	5927	1112.5	219490	818.37	1511.8	1544.9	484.32	768.08	681.43	1221.9	5927	1112.5	219490
P13639	131770	171420	148610	72829	93278	85252	123790	559610	79521	21804000	131770	171420	148610	72829	93278	85252	123790	559610	79521	21804000
P13667	14714	21639	22782	7985.7	11726	14971	19712	166760	18776	6306900	14714	21639	22782	7985.7	11726	14971	19712	166760	18776	6306900
P13674	17528	21808	23918	8524.5	13881	16012	26825	146800	19137	5619300	17528	21808	23918	8524.5	13881	16012	26825	146800	19137	5619300
P13693	5335	4716.3	6490.5	3693.2	4448.7	3144.7	7302.4	26020	5594.2	1176600	5335	4716.3	6490.5	3693.2	4448.7	3144.7	7302.4	26020	5594.2	1176600
P13716	5996.7	7284.9	7593.3	2410.2	3617.1	3324.4	6081	24063	4635.4	678850	5996.7	7284.9	7593.3	2410.2	3617.1	3324.4	6081	24063	4635.4	678850
P13796;Q14651	20126	18996	21513	37179	46650	58379	26650	266250	20749	10147000	20126	18996	21513	37179	46650	58379	26650	266250	20749	10147000
P13797	2855	3096.7	3743.8	1984.1	3525	2769.5	5453.4	20160	3428.7	673930	2855	3096.7	3743.8	1984.1	3525	2769.5	5453.4	20160	3428.7	673930
P13804	4540.5	9647.9	9604.7	5550.9	14002	6039.1	12606	88733	11150	3380900	4540.5	9647.9	9604.7	5550.9	14002	6039.1	12606	88733	11150	3380900
Q5VT79;P13928	3186.2	3140.1	5714	2832.4	3703.1	5147.3	3296.6	29087	4005.8	1027300	3186.2	3140.1	5714	2832.4	3703.1	5147.3	3296.6	29087	4005.8	1027300
P13929	2727.7	3596.3	5980.1	2479.2	2785.3	2643.7	5261.4	20346	3655.1	706900	2727.7	3596.3	5980.1	2479.2	2785.3	2643.7	5261.4	20346	3655.1	706900
P13995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P14314	3161.3	4027.2	4264.8	2054.4	3296.5	3322.9	2146.7	31277	3706.2	1308200	3161.3	4027.2	4264.8	2054.4	3296.5	3322.9	2146.7	31277	3706.2	1308200
P14324	1163.9	0	426.26	0	0	1499.5	1062.5	18021	952.68	629490	1163.9	0	426.26	0	0	1499.5	1062.5	18021	952.68	629490
