Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10
sp|P02656|APOC3_HUMAN	12036	12500	853.56	1928.8	13452	42208	1150.1	4254.8	42395	40018
sp|P02751|FINC_HUMAN	7321	7246.6	585.94	1095.5	7711.9	17949	0	1586.1	19652	19310
sp|P02768|ALBU_HUMAN	154350	188080	4713.8	19901	181420	403310	5406.4	30647	464860	453820
sp|P02771|FETA_HUMAN	25552	26675	1953.2	2618	28736	65007	229.27	5264.1	70392	73809
sp|P02788|TRFL_HUMAN	11938	13779	0	1034.4	13867	18204	0	1192.7	18905	21517
sp|P30491|1B53_HUMAN;sp|Q29718|1B82_HUMAN;sp|P10319|1B58_HUMAN;sp|P18463|1B37_HUMAN;sp|P18465|1B57_HUMAN;sp|P30464|1B15_HUMAN;sp|P30475|1B39_HUMAN;sp|P30484|1B46_HUMAN;sp|P30492|1B54_HUMAN;sp|P10321|1C07_HUMAN;sp|P30493|1B55_HUMAN;sp|Q29865|1C18_HUMAN;sp|P30495|1B56_HUMAN;sp|Q07000|1C15_HUMAN;sp|Q29963|1C06_HUMAN;sp|P30504|1C04_HUMAN;sp|P30508|1C12_HUMAN;sp|P30510|1C14_HUMAN;sp|P03989|1B27_HUMAN;sp|Q29960|1C16_HUMAN;sp|Q95365|1B38_HUMAN;sp|Q29940|1B59_HUMAN;sp|Q29836|1B67_HUMAN;sp|P30685|1B35_HUMAN;sp|P30455|1A36_HUMAN;sp|P30457|1A66_HUMAN;sp|P30453|1A34_HUMAN;sp|P30459|1A74_HUMAN;sp|P30456|1A43_HUMAN;sp|P01891|1A68_HUMAN;sp|P04439|1A03_HUMAN;sp|P30511|HLAF_HUMAN;sp|P05534|1A24_HUMAN;sp|P16189|1A31_HUMAN;sp|P10314|1A32_HUMAN;sp|P13746|1A11_HUMAN;sp|P30450|1A26_HUMAN;sp|P30501|1C02_HUMAN;sp|P30499|1C01_HUMAN;sp|P04222|1C03_HUMAN;sp|P30447|1A23_HUMAN;sp|P30461|1B13_HUMAN;sp|Q09160|1A80_HUMAN;sp|P16188|1A30_HUMAN;sp|P01889|1B07_HUMAN;sp|P18464|1B51_HUMAN;sp|P30462|1B14_HUMAN;sp|P30512|1A29_HUMAN;sp|P30466|1B18_HUMAN;sp|P30480|1B42_HUMAN;sp|P30486|1B48_HUMAN;sp|P30490|1B52_HUMAN;sp|Q31610|1B81_HUMAN;sp|P30485|1B47_HUMAN;sp|Q04826|1B40_HUMAN;sp|P30498|1B78_HUMAN;sp|P30483|1B45_HUMAN;sp|P30488|1B50_HUMAN;sp|P30487|1B49_HUMAN;sp|P01893|HLAH_HUMAN;sp|P30481|1B44_HUMAN;sp|P30460|1B08_HUMAN;sp|Q31612|1B73_HUMAN;sp|P18462|1A25_HUMAN;sp|P30443|1A01_HUMAN;sp|P01892|1A02_HUMAN;sp|P10316|1A69_HUMAN;sp|Q95604|1C17_HUMAN	33374	35562	1987.5	4079.4	38560	56785	0	5265.3	53842	51955
sp|P04004|VTNC_HUMAN	17152	19291	879.45	2161.3	19654	50724	347.01	4678.3	57260	60692
sp|P04040|CATA_HUMAN	37906	43500	3962.8	5329	44736	136000	267.81	12135	155020	155760
sp|P04066|FUCO_HUMAN	4807.9	5895.7	473.56	756.6	6158.8	22546	450.63	2315.4	26420	28561
sp|P04075|ALDOA_HUMAN;sp|P05062|ALDOB_HUMAN	217090	231020	15155	27800	245130	743770	8162.9	54181	838070	845260
