Protein IDs	Reporter intensity corrected 0 MS3_1	Reporter intensity corrected 1 MS3_1	Reporter intensity corrected 2 MS3_1	Reporter intensity corrected 3 MS3_1	Reporter intensity corrected 4 MS3_1	Reporter intensity corrected 5 MS3_1	Reporter intensity corrected 6 MS3_1	Reporter intensity corrected 7 MS3_1	Reporter intensity corrected 8 MS3_1	Reporter intensity corrected 9 MS3_1	Reporter intensity corrected 0 MS3_2	Reporter intensity corrected 1 MS3_2	Reporter intensity corrected 2 MS3_2	Reporter intensity corrected 3 MS3_2	Reporter intensity corrected 4 MS3_2	Reporter intensity corrected 5 MS3_2	Reporter intensity corrected 6 MS3_2	Reporter intensity corrected 7 MS3_2	Reporter intensity corrected 8 MS3_2	Reporter intensity corrected 9 MS3_2	Reporter intensity 0 MS3_1	Reporter intensity 1 MS3_1	Reporter intensity 2 MS3_1	Reporter intensity 3 MS3_1	Reporter intensity 4 MS3_1	Reporter intensity 5 MS3_1	Reporter intensity 6 MS3_1	Reporter intensity 7 MS3_1	Reporter intensity 8 MS3_1	Reporter intensity 9 MS3_1	Reporter intensity 0 MS3_2	Reporter intensity 1 MS3_2	Reporter intensity 2 MS3_2	Reporter intensity 3 MS3_2	Reporter intensity 4 MS3_2	Reporter intensity 5 MS3_2	Reporter intensity 6 MS3_2	Reporter intensity 7 MS3_2	Reporter intensity 8 MS3_2	Reporter intensity 9 MS3_2
sp|Q3TEA8|HP1B3_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|Q3THE2|ML12B_MOUSE;sp|Q9CQ19|MYL9_MOUSE	5377.1	6015.9	5685.1	1452.3	1067.6	1045	5657.9	0	5660.9	85056	3459.1	2545.7	2849.4	857.09	180.27	629.36	2330.4	79.513	2050.8	50595	5089.3	5657	5658.9	1678.7	1296.2	1169.8	5538.9	1425.7	5585.4	80072	3270.9	2395.2	2875.6	979.44	353.89	716.73	2253.8	1422.9	2035.4	47643
sp|Q3THK3|T2FA_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|Q3THK7|GUAA_MOUSE	640.92	351.63	1193.9	1493	1542.4	881.81	1488	0	1333.4	28110	331.53	326.3	466.59	699.35	912.18	720.7	0	0	701.27	9525.6	607.11	334.29	1174.6	1453.5	1543.7	890.91	1513.1	380.89	1322.2	26468	314.22	310.37	465.8	695.65	887.14	730.35	0	0	662.2	8969.5
sp|Q3THS6|METK2_MOUSE	574.71	498.25	534.71	2527.9	2952.6	2397.8	850.2	0	1014.1	36615	0	0	0	322.14	296.44	298.13	0	0	0	5216.3	543.67	480.18	557.42	2462.2	2824	2445	929.42	592.19	993.63	34472	0	0	0	310.72	279.13	305.99	0	0	0	4911.8
sp|Q3TJD7|PDLI7_MOUSE	581.05	0	531.61	0	0	0	288.74	0	0	6477.4	0	0	0	0	0	0	0	0	0	0	549.64	0	532.18	0	0	0	272.14	0	0	6099.2	0	0	0	0	0	0	0	0	0	0
sp|Q3TLH4|PRC2C_MOUSE	0	0	0	305.09	425.1	221.66	0	0	0	2817.5	0	0	0	0	0	0	0	0	0	0	0	0	0	293.3	400.28	228.43	0	0	0	2653	0	0	0	0	0	0	0	0	0	0
sp|Q3TW96|UAP1L_MOUSE	0	0	0	0	0	0	0	0	0	0	0	270.74	274.29	259.37	0	0	0	0	0	7291.6	0	0	0	0	0	0	0	0	0	0	0	255.7	257.07	262.84	0	0	0	0	0	6866
sp|Q3TWW8|SRSF6_MOUSE	4149.5	4053.6	3553.3	4731.9	4649.5	6636.7	6323.3	0	7111.5	116200	2819.2	2480	2883.7	2686.6	3863.8	2414.2	3281.6	0	3808.3	60600	3924.3	3833.1	3584.3	4847.8	4678	6680.7	6377.7	1685.6	6983.5	109380	2668	2343.9	2910.9	2741.5	3855.4	2505.1	3382.7	1093	3735.3	57043
sp|Q3TXS7|PSMD1_MOUSE	1969.3	1144.3	1139.8	2758	4128.7	2882.1	2083.5	0	1243.1	49263	0	389.81	392.69	577.04	0	562.18	283.6	77.153	0	7557.4	1860.3	1090.1	1228.2	2735.4	3983.6	2933	2196	1100.8	1246.5	46560	0	369.3	368.57	580.82	0	572.32	267.3	323.9	0	7117.9
sp|Q3TZ89|SC31B_MOUSE	351.61	313.92	302.93	1276	1484.6	1238.1	2557.3	0	2438.6	39528	448.65	0	405.77	1757.7	1794.5	1974	2746.8	0	2475	28863	332.53	302.03	324.32	1250.8	1451.9	1294.7	2548.3	703.98	2411.2	37207	424.37	0	429.85	1700.9	1752.3	1995.8	2742.8	733.46	2453.6	27173
sp|Q3U0V1|FUBP2_MOUSE	6416.3	5624.6	4824.8	8329.9	8706.2	7863.6	11819	0	8820.2	184010	4300.7	4479.9	4356	5127.6	4486	5819.5	9102.4	382.73	7714.9	127170	6065.5	5324.4	4958	8380.3	8619.2	8122.2	11759	3067.1	8830	173470	4067.9	4227.4	4367.9	5196.6	4592.8	5888.9	9005.8	1690.6	7671.1	119730
sp|Q3U1J4|DDB1_MOUSE	4249.9	3368.3	4245.8	4533.2	5638.6	5390.2	6466.1	151.2	5920.6	119720	2880.2	2744.6	2721.5	2619.6	3158.8	3189.1	4167.3	9.4053	3399	70399	4020.1	3187	4272.7	4597.2	5622.8	5511	6502.5	3435.5	5865	112730	2724.8	2592	2756.7	2706.5	3193.3	3263.5	4172.5	1496.2	3386.4	66288
sp|Q3U7R1|ESYT1_MOUSE	305.09	0	0	0	417.42	0	0	0	0	8966.7	0	255.71	0	0	0	242.59	690.89	0	310.36	3902.2	287.55	0	0	0	393.05	0	0	0	0	8648	0	240.11	0	0	0	236.64	659.67	0	322.38	3674.4
sp|Q3U962|CO5A2_MOUSE	0	0	0	0	0	0	0	0	0	0	400.93	316.36	0	0	0	0	0	0	0	4779.1	0	0	0	0	0	0	0	0	0	0	377.88	297.05	0	0	0	0	0	0	0	4550.9
sp|Q3U9G9|LBR_MOUSE	0	0	0	341.52	252.37	236.34	0	0	0	4599.9	0	0	0	0	0	0	0	0	0	0	0	0	0	328.13	237.64	247.29	0	0	0	4331.4	0	0	0	0	0	0	0	0	0	0
sp|Q3UBX0|TM109_MOUSE	0	0	384.13	0	0	0	0	0	0	5753.4	415.45	0	311.33	622.91	244.26	0	0	0	395.36	9020	0	0	360.01	0	0	0	0	0	0	5417.5	392.74	0	315.67	591.56	230	0	0	0	373.34	8493.4
sp|Q3UEB3|PUF60_MOUSE	1227.7	2075.2	1374.5	1447.4	1966.2	1393.2	3191.9	0	3569.9	58735	1545.8	1614.4	1598	2421.1	2236.5	1866.1	3981.8	0	3561.9	65635	1162.3	1956.8	1384.4	1523.6	1972.3	1469.2	3200.6	402.09	3506.4	55290	1462.9	1529.7	1617.2	2427.8	2255.7	1933.5	3943.7	1229	3532.4	61787
sp|Q3UGC7|EI3JA_MOUSE;sp|Q66JS6|EI3JB_MOUSE	2212.9	1821.5	1850.9	4441.9	4537.5	3790.6	2285	0	2618.1	64193	0	0	0	246.39	0	0	0	0	0	3406.9	2092.6	1735.7	1913.2	4390.4	4414.5	3892.5	2443.3	1352.1	2569.2	60427	0	0	0	233.99	0	0	0	0	0	3208
sp|Q3UHX2|HAP28_MOUSE	0	0	0	0	0	0	0	0	0	3592.3	0	0	0	0	0	0	0	0	0	2508	0	0	0	0	0	0	0	0	0	3592.3	0	0	0	0	0	0	0	0	0	2508
sp|Q3UM45|PP1R7_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285.14	0	0	3173.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268.75	0	0	2988.1
sp|Q9D3R6|KATL2_MOUSE;sp|Q3UMC0|SPAT5_MOUSE	2028.6	1949.7	2265.9	2360.2	2911.6	3303.7	3497.6	0	2667.4	60965	2016.4	2720.2	2605.9	2234.4	3199	2855.4	2238.6	0	3726.1	58638	1920.5	1844.2	2277	2413.5	2924.1	3323.7	3509.3	502.37	2667.1	57371	1910.2	2566.9	2595.5	2333.8	3199.1	2904.9	2365.6	1561.5	3613.5	55207
sp|Q3UMR5|MCU_MOUSE	298.73	587.99	0	0	306.62	242.2	289.72	0	0	7128.1	0	0	317.36	0	0	0	394.59	0	273.19	5274.9	281.55	552.1	0	0	292.54	242.35	287.78	0	0	6712	0	0	298.17	0	0	0	379.39	0	274.7	4967
sp|Q3UPL0|SC31A_MOUSE	1349.4	1273.3	658.39	930.24	891.45	969.26	2080.3	0	1765.3	32123	508.43	519.28	517.23	450.51	436.55	326.74	601.94	0	381.88	12681	1274.3	1200.9	662.59	976.7	902.55	1007.6	2051.8	337.54	1739.6	30244	481.13	490.16	519.64	464.78	449.91	348.7	598.75	0	386.14	12068
sp|Q3UQ44|IQGA2_MOUSE	0	0	339.91	648.94	836.42	681.27	280.96	182.01	612.89	12131	812.94	1029.6	722.6	1350.8	1963.7	1404.5	1055.3	0	491.14	22978	0	0	327.76	627.22	811.94	698.02	321.76	567.44	590.66	11427	768.91	974.46	746.29	1368.2	1906.2	1425.4	1102.4	315.2	508.53	21626
sp|Q3UW53|NIBAN_MOUSE	1832.4	1590.7	1473.3	573.86	929.21	494.1	345.55	0	300.94	25811	0	0	0	0	0	0	0	0	0	0	1732.6	1496.9	1496.4	650	966.8	507.97	357.06	290.65	298.83	24424	0	0	0	0	0	0	0	0	0	0
sp|Q3V0G7|GARL3_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367.68	0	14386	0	12190	84859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547.55	0	13910	2394.4	12121	79901
sp|Q3V1T4|P3H1_MOUSE	1225.5	910.82	1082.7	260.96	315.73	0	674.78	0	924.3	13335	386.87	504.79	268	0	0	0	321.82	0	463.13	5728	1159.1	856.72	1089.7	303.41	371	0	676.46	0	901.42	12556	365.63	473.98	274.02	0	0	0	316	0	450.98	5460.2
sp|Q3V3R1|C1TM_MOUSE	3944.4	2369.5	2631.5	3946.3	4501.3	4152	2608.7	89.638	1996	83053	1994.6	1246.7	1498.9	725.46	1423.3	1945	1458.1	101.66	741.17	33142	3727.5	2241	2704.8	3959	4403.5	4195.7	2729.6	2261.2	1960.4	78195	1885.5	1174.7	1521.4	761.69	1414	1932.3	1462.9	270.7	744.85	31276
sp|Q497K7|TM247_MOUSE	3704.2	3070.3	2319.3	2712.6	1625.2	1729.1	1862.2	0	2055	53077	2701.4	2611.7	2879.9	2294.3	2080.3	2085.7	1762.2	0	2281.3	45898	3499.9	2898.4	2407	2791.2	1693.8	1841.5	1889.5	599.64	2019.5	49952	2556.9	2465.4	2879.2	2371.8	2154.3	2155	1823.3	1065	2229	43208
sp|Q9WVA2|TIM8A_MOUSE;sp|Q4FZG7|TI8AB_MOUSE	673.09	334.23	569.9	508.88	508.55	499.18	720.79	0	402.2	11482	585.95	539.15	728.95	396.35	293.37	368.99	461.27	0	0	7672.7	636.53	316.73	579.43	511.69	522.4	516.16	714.78	0	410.36	10812	554.99	508.51	720.77	415.24	325.37	380.91	448.83	0	0	7224.8
sp|Q4VAA2|CDV3_MOUSE	0	0	0	0	0	0	0	0	0	0	848.63	983.34	274.33	2969.3	2983.8	2371.2	1269.3	0	1350.7	33593	0	0	0	0	0	0	0	0	0	0	800.87	940.25	339.19	2918	2843.9	2431.8	1376.6	701.92	1329.3	31622
sp|Q501J6|DDX17_MOUSE	1964.3	2290.1	1732.9	1966.8	2080.8	2377.5	3784.9	0	4068.2	61779	2260.6	2349.2	2285.9	1669.3	3006.8	2021.2	4143.2	0	4090.2	63137	1857.9	2159.7	1765.1	2045.8	2110.8	2422.9	3778.6	803.05	3987.2	58161	2139.2	2215.3	2311.3	1761.1	3024.8	2097.8	4161.4	1269.4	4038.1	59536
sp|Q52KI8|SRRM1_MOUSE	301.67	490.12	602.13	499.39	1011.7	677.36	419.12	118.35	938.39	16371	0	0	0	0	0	0	0	0	0	0	286.58	463.05	592.93	515.05	994.57	694.83	469.31	633.66	903.89	15418	0	0	0	0	0	0	0	0	0	0
sp|Q562D6|TRMO_MOUSE	0	0	0	0	0	0	0	0	0	0	10637	13667	15309	0	0	0	4981.8	0	5113.5	124220	0	0	0	0	0	0	0	0	0	0	10083	12833	14969	0	0	0	4835.4	2826.1	5039.9	116940
sp|Q569Z5|DDX46_MOUSE	0	0	0	0	0	0	0	0	0	0	0	958.03	1054.6	1135.4	1470.4	1354.5	1037.9	231.91	1309.5	26480	0	0	0	0	0	0	0	0	0	0	0	906.03	1005.6	1152	1461.8	1383.7	1070.5	631.73	1280.6	24939
sp|Q569Z6|TR150_MOUSE	0	489.2	1116.1	1427.6	1210.6	1325	785.94	0	1447.3	24170	0	0	0	896.06	532.4	521.7	766.79	0	431.76	11731	0	464.17	1060.1	1406.9	1217.6	1361.6	838.53	0	1400	22759	0	0	0	859.34	511.85	555.19	760.09	0	440.22	11046
sp|Q571I9|A16A1_MOUSE	0	0	302.58	0	0	400.53	0	0	0	1635	0	0	0	0	0	0	0	0	0	0	0	0	283.58	0	0	381.66	0	0	0	1539.5	0	0	0	0	0	0	0	0	0	0
sp|Q5FWK3|RHG01_MOUSE	10373	10020	9355.4	3677.2	3597.9	5071.5	4534.7	0	4527.6	154550	12462	12395	10804	3997.9	4631.4	5414.6	5764.2	0	4766.1	158820	9810.6	9429.4	9410.1	4144	3962.6	5194	4562.3	2168	4467.6	145470	11786	11662	10901	4640.2	5079.5	5564.5	5785.7	2625.3	4745	149500
sp|Q5SUF2|LC7L3_MOUSE	611.45	412.26	389.88	600.91	572.46	451.12	605.57	0	549.29	13407	1420.4	1508.2	1189.4	1460.6	1672.1	1917.9	2413.8	0	1743	36606	577.76	390.52	407.62	603.07	570.57	478.46	613.29	0	544.38	12625	1343.2	1421.8	1218.2	1509.9	1678.2	1945.2	2403	664.11	1748.3	34466
sp|Q5XFR0|EPAB2_MOUSE;sp|Q8CCS6|PABP2_MOUSE	0	0	0	0	0	0	0	0	0	0	668.33	509.23	601.22	472.91	469.72	222.16	1140.6	0	755.92	15023	0	0	0	0	0	0	0	0	0	0	632.16	480.84	608.91	483.76	493.56	259.38	1118.3	0	762.18	14146
sp|Q5XJY5|COPD_MOUSE	944.44	1276.3	1194.5	2032.5	3036.4	3366.7	2234.1	0	3214.8	58328	800.91	321.92	515.55	1209.4	440.01	914	1899.4	0.6321	1129	28174	892.67	1206.8	1206.3	2045	2919.5	3379.1	2313.1	336.96	3115.8	54917	756.8	305.13	506.69	1182.9	455.31	950.3	1842.2	263.29	1146.6	26618
sp|Q5XKN4|JAGN1_MOUSE	509.8	707.65	355.65	297.77	0	473.12	0	33.721	539.73	9233.8	0	0	0	0	0	0	0	0	0	0	481.82	666.16	362.63	333.58	0	478.29	0	329.08	509.66	8695.5	0	0	0	0	0	0	0	0	0	0
sp|Q60597|ODO1_MOUSE	2148	1757.6	2795.9	1858.6	2373	1095.2	2961.1	0	2852.6	44174	1082.3	1167.7	1016.6	864.4	670.2	1116.1	1374.4	41.61	1541.8	29811	2033.2	1661	2774	1890	2441.3	1190.2	2982.9	0	2819.3	41595	1022.4	1099.9	1024.5	886.34	688.51	1116.4	1356.3	274.98	1514.2	28072
sp|Q60598|SRC8_MOUSE	0	0	0	0	0	0	0	0	0	0	422.36	788.98	732.08	0	0	0	948.05	0	728.73	11118	0	0	0	0	0	0	0	0	0	0	400.82	740.83	712.18	0	0	0	913.5	262.43	728.34	10467
sp|Q60605|MYL6_MOUSE;sp|Q8CI43|MYL6B_MOUSE	43281	35752	39888	17754	18046	21737	54824	0	51938	787400	19752	15898	14534	8134.5	10943	9042.6	26212	123.68	22122	328740	40942	33671	40162	19392	20079	22718	53961	16338	51370	741240	18670	14974	14886	8814	11488	9487.9	25837	5757.9	22002	309470
sp|Q60631|GRB2_MOUSE	439.3	651.19	0	1868.1	1864	1924.2	1459.1	0.9526	1197.7	27120	0	0	358.36	789.1	684.8	572.41	324.33	1.1065	0	8014.8	414.05	618.07	0	1844.7	1775.6	1951.6	1497.5	771.55	1192.9	25534	0	0	343.56	758.58	670.26	591.36	338.57	264.75	0	7547
sp|Q60648|SAP3_MOUSE	865.88	636.74	430.98	602.75	816.1	1000.5	402.52	0	441.17	11328	0	0	0	0	0	0	0	0	0	0	817.72	601.31	462.91	627.35	799.63	993.92	430.65	0	433.66	10667	0	0	0	0	0	0	0	0	0	0
sp|Q60668|HNRPD_MOUSE;sp|Q9Z130|HNRDL_MOUSE	9563	10345	8142.9	12536	17199	18199	20691	0	15804	290200	8677.7	8455.3	8814.1	11075	10611	9974.4	16350	0	15989	233230	9043.7	9785	8398.5	12828	16964	18268	20760	6387.4	15801	273180	8211.9	8002.4	8900.3	11194	10743	10330	16358	4505.8	15792	219560
sp|Q60692|PSB6_MOUSE	932.52	800.35	545.25	1664.1	1406.9	1260.7	570.53	0	0	22485	0	0	0	0	0	0	0	0	0	0	880.95	760.99	555.13	1649.5	1364.5	1308.2	573.5	0	0	21172	0	0	0	0	0	0	0	0	0	0
sp|Q60710|SAMH1_MOUSE	0	317	0	981.4	684.86	466.74	1309.3	0	1050.8	20251	0	239.92	0	282.39	483.67	0	638.06	0	0	7017	0	299.23	0	958.85	663.15	492.47	1295.7	0	1028.5	19069	0	226.88	0	282.82	463.85	0	624.6	0	0	6668.4
sp|Q60715|P4HA1_MOUSE	15058	12468	13215	4796.4	5096.2	3900.7	16121	165.35	15517	244780	18870	17483	17627	5245.7	5502.8	5729.1	21360	316.57	19847	309400	14241	11734	13334	5314.9	5738.1	4286	15864	4126.4	15324	230420	17850	16446	17702	6124.7	6476.6	6092.4	20940	7317.4	19634	291450
sp|Q60716|P4HA2_MOUSE	4888.4	4362.1	3997.9	0	0	0	4151.4	0	4278.2	67100	2376.2	1268.9	1815.4	0	0	0	2234.7	0	1450.5	27708	4622.4	4095.9	4035.8	0	0	0	4029.8	645.77	4215.9	63180	2246.4	1191.4	1842.2	0	0	0	2145.9	261.14	1437.5	26085
sp|Q60737|CSK21_MOUSE	0	0	0	0	570.5	0	0	214.82	397.72	5506.8	317.19	0	316.03	610.13	381.56	358.88	622.1	217.3	370.7	9193.9	0	0	0	0	537.57	0	0	373.08	375.56	5190.3	300.14	0	319.55	585.19	386.5	386.48	614.81	500.49	376.43	8662.2
sp|Q60749|KHDR1_MOUSE;sp|Q9R226|KHDR3_MOUSE;sp|Q9WU01|KHDR2_MOUSE	4490.3	4111.2	3745.1	3593.9	4039.7	3372.4	4322.7	518.7	4202.2	87145	13412	10369	11218	9568.7	13094	11831	14772	49.484	15553	272980	4246.2	3880.7	3818.1	3718.1	4086	3518	4383.3	3209.3	4151.5	82068	12683	9790.9	11448	9910.1	13201	12080	14977	5307	15313	256960
sp|Q60766|IRGM1_MOUSE	0	0	0	338.48	0	0	698.21	0	267.62	8502.8	1327.3	1152.4	1087.3	303.33	556.46	666.62	1292.7	0	1582	21681	0	0	0	321.45	0	0	665.39	0	270.97	8006.4	1255.1	1083.8	1086.8	336.29	588.85	679.59	1288.4	0	1538.7	20415
sp|Q60847|COCA1_MOUSE	441.32	502.27	442.54	0	0	0	0	0	0	2758.2	0	295.69	0	0	0	0	0	0	0	2213.8	417.61	471.62	440.12	0	0	0	0	0	0	2597.2	0	277.65	0	0	0	0	0	0	0	2084.5
sp|Q60864|STIP1_MOUSE	11585	10634	7814.4	16277	16254	13442	23929	131.85	27037	378220	1571.5	1967.3	761.27	2388.4	3414.6	2697.4	5403.3	0	4694.2	69291	10948	10078	8186.8	16291	16102	14093	24074	9506.9	26546	356080	1484	1860.8	826.12	2408	3326.1	2768.6	5364.9	838.19	4661.8	65222
sp|Q60865|CAPR1_MOUSE	1714.7	1693.6	2182.9	1777	1862.1	2529.3	2128.7	0	2122.5	46321	318.07	634.74	963.81	928.05	409.58	222.02	1111.2	0	869.95	17905	1624.3	1600.3	2167.8	1831.5	1912.3	2552.9	2153.9	601.79	2094.6	43609	302.36	601.29	927.92	923.65	437.09	261.9	1090.8	318.35	868.61	16859
sp|Q60870|REEP5_MOUSE	3640.2	3043.2	3410.5	2592.3	3522.1	2637.3	1906.2	0	1873.2	60209	0	0	0	0	0	0	0	0	0	0	3443.7	2872.2	3445.7	2689.9	3544.7	2721.1	2017	1858.9	1849.7	56692	0	0	0	0	0	0	0	0	0	0
sp|Q8BMJ3|IF1AX_MOUSE;sp|Q60872|IF1A_MOUSE	871.67	1054.3	761.44	1274.7	1546.1	1523.4	1025.8	0	1105.3	23137	2029.6	1553	1324.1	2231.5	2736.1	1717.4	1767.6	0	2004.7	43971	824.41	997.18	781.69	1299.3	1515.3	1540.3	1071.4	0	1087.3	21786	1917.9	1468.7	1352.9	2241.5	2679.7	1773.2	1817.9	976.96	1968	41399
sp|Q60875|ARHG2_MOUSE	0	0	0	0	0	0	473.69	0	288	6172.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454.34	0	292.05	5947.8	0	0	0	0	0	0	0	0	0	0
sp|Q60930|VDAC2_MOUSE	26642	26105	26475	26906	29337	31288	28991	0	29426	615530	17291	13889	13410	19395	20293	20224	17783	70.419	17063	359300	25208	24665	26703	27633	29575	31826	29527	11511	29016	579420	16347	13152	13806	19591	20151	20593	18202	6793.4	16866	338300
sp|Q60931|VDAC3_MOUSE	13203	11150	11805	5093.7	6422.1	5388.5	12902	65.689	10428	203470	3574.2	3861.6	3362	1447.7	1273.1	1955.8	3001.3	4.4073	3627.1	59227	12488	10498	11914	5544.6	6830.3	5667.2	12754	4215.7	10381	191540	3381.3	3634.1	3375.2	1590	1354.8	2020.5	2989.2	1229.4	3552.3	55762
sp|Q60932|VDAC1_MOUSE	33437	31945	33879	11646	14757	15567	32884	346.67	33290	604540	26453	23850	25070	6288.5	10180	9337.8	25896	238.73	27664	401050	31642	30059	33889	13260	16301	16292	32614	12214	32830	569100	25026	22430	25171	7504.5	11434	9780.5	25626	9404.7	27221	377570
sp|Q60953|PML_MOUSE	0	0	0	0	0	0	0	0	0	3793.1	0	0	0	305.8	0	0	358.64	0	0	4320.5	0	0	0	0	0	0	0	0	0	3793.1	0	0	0	290.41	0	0	338.02	0	0	4068.3
sp|Q60960|IMA5_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|Q60972|RBBP4_MOUSE	309.15	0	193.61	744.27	409.71	205.97	538.75	37.52	274.34	10555	0	0	0	456.24	0	0	544.47	0	687.02	3376.5	292.11	0	204.49	710.11	404.59	248.25	534.97	362.2	281.91	9939.6	0	0	0	433.28	0	0	531.98	0	671.84	3179.4
sp|Q60973|RBBP7_MOUSE	1087.6	1509.3	2210.7	4096	6401.2	5968.4	5365.4	0	6013.3	106740	1795.6	887.52	1602.7	2640.5	4145.4	3191.6	4021.8	217.68	4769.4	75264	1029.3	1440.5	2197.8	4074.1	6234.5	6018	5529	2340.5	5905.8	100500	1698.3	843.45	1649.5	2613.1	4055.5	3259	4120.2	1607.1	4674.3	70866
sp|Q60996|2A5G_MOUSE	509.63	0	345.28	1152.9	702.09	659.18	1150.9	0	465.95	14406	0	0	0	0	0	0	0	0	0	0	481.62	0	362.34	1105.5	697.11	698.73	1131.2	236.03	488.8	13560	0	0	0	0	0	0	0	0	0	0
sp|Q61001|LAMA5_MOUSE	324.06	570.21	414.09	0	0	0	0	0	0	6970.5	0	0	307.61	0	543.94	0	543.02	0	1067.4	4220.2	306.98	535.41	406.72	0	0	0	0	0	0	6563.6	0	0	294.96	0	538.52	0	567.15	0	1030.9	3973.8
sp|Q61024|ASNS_MOUSE	5574.4	4028.8	6221.9	6756	7437.3	6698.5	2304.8	0	1856.9	104440	1290	2074	1363.7	1792.3	1889.4	2542.3	971.1	0	610.35	33232	5277.2	3821.4	6233	6769.5	7402.6	6818.8	2580.3	2580.4	1851.2	98321	1219.9	1957.6	1373.6	1844.2	1855.9	2539.9	1022.7	546.53	617.53	31282
sp|Q61029|LAP2B_MOUSE	797.46	1510.1	1524	1694.4	2128.8	2443.5	2330.8	0	1423.2	47740	589.67	294.32	526.04	476.52	477.33	526.85	878.42	181.67	790.01	11974	755.14	1427.6	1500.6	1740.5	2126.6	2466.4	2338	1158	1442.8	45095	557.74	279.07	533.51	478.96	492.86	544.07	872.48	556.4	783.26	11279
sp|Q61033|LAP2A_MOUSE	914.27	1322.3	931.85	1717.9	2970.1	1559.3	2219.6	0	2201.6	33735	0	0	552.49	540.23	458	730.67	789.22	0	1246.8	17613	865.2	1251.3	943.19	1737.2	2883.1	1605.4	2203.8	525.06	2173.1	31763	0	0	523.34	524.78	470.24	732.46	799.98	247.97	1210.8	16791
sp|Q99KK9|SYHM_MOUSE;sp|Q61035|SYHC_MOUSE	0	0	0	0	0	0	0	0	0	0	460.14	0	360.27	1013.4	917.7	651.95	851.54	0	725.76	14291	0	0	0	0	0	0	0	0	0	0	435.04	0	375.22	972.87	897.32	688.35	866.53	0	721.44	13457
sp|Q61074|PPM1G_MOUSE	0	305.56	0	586.52	641.33	248.96	416.52	0	0	6666.5	0	0	0	0	0	0	0	0	0	1887.8	0	290.25	0	579.65	609.39	274.05	423.37	0	0	6277.3	0	0	0	0	0	0	0	0	0	1887.8
sp|Q61081|CDC37_MOUSE	0	299.99	0	1008.3	1173.4	1509.8	1403.2	35.342	966.6	26558	388.5	267.11	0	420.75	908.74	311.33	658.04	0	828.11	11291	0	284.48	0	1000.1	1124.3	1520.4	1405.4	732.48	972.26	25004	366.17	253.2	0	420.87	865.15	334.31	686.52	0	809.88	10632
sp|Q61085|RHPN1_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|Q61093|CY24B_MOUSE	813.04	312.9	0	3302.1	2812	2983.2	0	0	382.33	29394	0	0	0	0	0	0	0	0	0	0	766.3	312.62	0	3202.9	2648.2	3018.1	0	675.09	361.03	27671	0	0	0	0	0	0	0	0	0	0
sp|Q61171|PRDX2_MOUSE	13778	13341	12031	27074	26399	26846	25519	0	25533	500140	6213.4	5589.1	5063.9	12675	13868	13835	13397	0	11643	221170	13031	12676	12389	26956	25929	27451	26019	9761.8	25193	470800	5875.2	5320.2	5209.1	12601	13546	14014	13611	3713.3	11563	208180
sp|Q61187|TS101_MOUSE	0	0	0	0	0	0	0	0	0	0	367.5	304.45	0	0	0	0	0	0	573.44	5453.8	0	0	0	0	0	0	0	0	0	0	346.37	285.87	0	0	0	0	0	0	541.5	5135.4
sp|Q61191|HCFC1_MOUSE	0	558.38	367.94	350.41	374.47	345.44	491.11	0	352.2	9218.4	0	0	0	591.94	0	460.25	304.62	0	611.09	8293.9	0	526.3	349.64	372.4	381.15	359.51	490.51	0	353.4	8680.2	0	0	0	569.54	0	477.06	303.84	0	589.97	7809.7
sp|Q61205|PA1B3_MOUSE	0	0	0	0	0	0	0	0	0	0	277.95	0	336.72	610.2	686.5	375.73	987.66	0	1320.3	13737	0	0	0	0	0	0	0	0	0	0	263.23	0	340.53	585.53	680.58	406.47	1000	292.16	1288.7	12932
sp|Q61206|PA1B2_MOUSE	0	0	0	390.4	0	0	305.6	0	436.74	5483.7	0	0	0	0	0	0	0	0	0	0	0	0	0	370.75	0	0	299.99	0	425.37	5163.5	0	0	0	0	0	0	0	0	0	0
sp|Q61207|SAP_MOUSE	65053	61167	64771	26326	25288	25446	70142	101.6	73975	1111700	46523	44270	42585	19913	20537	18548	46384	485.95	36950	684680	61556	57584	64838	29143	28632	27151	69349	21605	72829	1046500	44007	41681	42886	21842	22471	19620	45715	13750	36845	644550
