Protein IDs	Reporter intensity corrected 0 MS3_1	Reporter intensity corrected 1 MS3_1	Reporter intensity corrected 2 MS3_1	Reporter intensity corrected 3 MS3_1	Reporter intensity corrected 4 MS3_1	Reporter intensity corrected 5 MS3_1	Reporter intensity corrected 6 MS3_1	Reporter intensity corrected 7 MS3_1	Reporter intensity corrected 8 MS3_1	Reporter intensity corrected 9 MS3_1	Reporter intensity corrected 0 MS3_2	Reporter intensity corrected 1 MS3_2	Reporter intensity corrected 2 MS3_2	Reporter intensity corrected 3 MS3_2	Reporter intensity corrected 4 MS3_2	Reporter intensity corrected 5 MS3_2	Reporter intensity corrected 6 MS3_2	Reporter intensity corrected 7 MS3_2	Reporter intensity corrected 8 MS3_2	Reporter intensity corrected 9 MS3_2	Reporter intensity 0 MS3_1	Reporter intensity 1 MS3_1	Reporter intensity 2 MS3_1	Reporter intensity 3 MS3_1	Reporter intensity 4 MS3_1	Reporter intensity 5 MS3_1	Reporter intensity 6 MS3_1	Reporter intensity 7 MS3_1	Reporter intensity 8 MS3_1	Reporter intensity 9 MS3_1	Reporter intensity 0 MS3_2	Reporter intensity 1 MS3_2	Reporter intensity 2 MS3_2	Reporter intensity 3 MS3_2	Reporter intensity 4 MS3_2	Reporter intensity 5 MS3_2	Reporter intensity 6 MS3_2	Reporter intensity 7 MS3_2	Reporter intensity 8 MS3_2	Reporter intensity 9 MS3_2
sp|O08749|DLDH_MOUSE	1655.5	1510.9	2029.4	1794.3	1525.7	1323.7	1427.2	38.458	1021	33951	5787.9	4857.9	4559.5	8602.4	7973.4	7137.3	5567.2	0	5927.5	114710	1567.9	1428.9	2015.7	1817.4	1576.3	1390.3	1446.3	701.1	1005	31960	5472.3	4610.4	4699	8580.6	7856.2	7344.5	5792.4	3396.1	5833.4	108010
sp|O08756|HCD2_MOUSE	0	0	0	0	0	0	0	0	0	0	323.46	539.45	0	317.33	418.37	389.27	866.21	0	321.42	12557	0	0	0	0	0	0	0	0	0	0	304.87	508.33	0	340.53	405.68	400.41	845.3	0	340.25	11989
sp|O08784|TCOF_MOUSE	1503.3	1314.3	1183.4	2298.3	2023.8	1943.3	1425	0	945.25	36684	0	0	0	0	0	0	0	0	0	0	1421.3	1244	1194.5	2294.1	1995.2	2008	1466.1	526.08	931.36	34542	0	0	0	0	0	0	0	0	0	0
sp|O08788|DCTN1_MOUSE	0	0	0	0	0	0	0	0	0	0	493.27	374.01	587.89	709.57	818.96	891.79	1010.1	0	709.13	8184.3	0	0	0	0	0	0	0	0	0	0	467.11	355.22	589.72	711.01	819.86	889.99	1010.8	0	712.46	7706.5
sp|O08795|GLU2B_MOUSE	2172.7	2231.2	2319.9	724.29	2028.3	1908.7	4040.4	0	3281.8	61206	3381.6	3413.5	4084.2	1843.2	2047.4	1762.4	5101.4	0	3933.9	76965	2056.5	2099.2	2327.7	819.47	2103.3	1934.6	3995.4	1191.8	3270.3	57917	3201.4	3215.6	4053	1968.8	2222.7	1874.4	5014.1	1284.5	3931.1	72512
sp|O08807|PRDX4_MOUSE	8194.9	7682.6	7232.7	4675.4	6306.2	5916.3	7660.3	148.37	7322	152220	9341.6	7167	8127.8	7679.5	7639.5	6959.7	11920	0	9567.6	156340	7748.6	7240.4	7289	4916.1	6424.6	6071.5	7723.3	3043.6	7238.9	143300	8835	6773.4	8256.1	7827.2	7839.8	7179.4	11864	3208.4	9540.1	147180
sp|O08810|U5S1_MOUSE	1126.8	1231.3	1390.6	1783.7	1304.1	1788.7	1675.6	0	1746.2	38472	693.91	834.27	1253.1	1106.7	1979.2	2230.8	2022.9	153.21	2018.4	33366	1065.7	1166.3	1384.7	1797.8	1302.5	1836.6	1689.7	761.13	1720	36215	655.82	786.16	1238.6	1130.2	1966.2	2219.6	2057	662.28	1991.7	31416
sp|O08997|ATOX1_MOUSE	462.53	522.11	629.69	1997.2	1966.1	2321.6	1044.4	0	675.98	27704	0	266.34	451.18	781.76	946.99	898.17	507.44	0	442.26	12883	438.3	501.62	639.08	1965.8	1902.9	2331	1097.3	570.89	682.62	26078	0	254.54	433.62	773.1	925.46	906.44	535.86	295.68	439.15	12128
sp|O09061|PSB1_MOUSE	2867.3	2383.9	1207.6	3329	3720	3069.7	2906.7	0	3275.4	61442	2315.7	815.15	1617	4177.2	4798.8	3621.3	2865.1	57.036	2783.4	58805	2707	2257.4	1254	3356.2	3615.6	3157.9	2989.6	940.21	3216.2	57848	2188.6	779.67	1696.9	4074.9	4654.5	3717.5	2975.4	1381.5	2749.8	55367
sp|O09106|HDAC1_MOUSE;sp|P70288|HDAC2_MOUSE	0	463.12	331.62	262.25	845.2	951.48	1349.2	0	1142	20974	385.41	0	0	0	285.24	0	664.03	0	916.75	8359.7	0	434.86	318.4	253.86	834.32	950.53	1343.5	0	1111.8	19750	363.25	0	0	0	278.21	0	664.65	0	893.84	7903.9
sp|O09111|NDUBB_MOUSE	945.14	739.77	815.41	660.51	721.18	765.89	411.75	0	851.89	13894	2123	1412.5	1704	1384.4	1193.8	885.29	1165.4	0	1172.7	26447	893.85	698.39	826.8	684.72	733.46	778.04	446.04	332.42	821.89	13080	2007.3	1334.2	1733.6	1415.1	1241.2	944.17	1187.8	509.18	1156.8	24896
sp|O09117|SYPL1_MOUSE	0	330.78	242.91	0	273.4	295.92	316.53	0	367.77	6581	0	407.76	0	262.65	0	341.89	496.63	0	0	5282.6	0	310.59	231.09	0	276.3	292.09	321.53	0	360.71	6196.8	0	384.37	0	279.81	0	344.82	468.08	0	0	4974.2
sp|O09131|GSTO1_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608.31
sp|O09167|RL21_MOUSE	14041	16711	14944	11582	13924	15129	9886	0	11903	273350	6171.4	5872.4	5302.9	5204.7	5599.3	6225.8	4916.6	0	5727.2	108020	13290	15757	14975	12262	14135	15287	10312	5455.3	11659	257310	5836.4	5543.6	5392	5401.2	5655.8	6300.3	5059.7	1965.5	5616.6	101680
sp|O35074|PTGIS_MOUSE	1751.6	1562.9	1939	0	0	0	702.7	206.87	507.58	15589	1768.9	1663.1	2008.6	0	0	0	360.95	16.308	719.98	14272	1658.2	1467.5	1919.2	0	0	0	676.2	669.2	509.11	14683	1674.7	1561.6	1984.9	0	0	0	359.91	445.78	695.17	13439
