Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
Q9NQC3	82.167	114.43	95.11	180.66	132.61	211.31	932.01	54.345	400.9	957.04	82.167	114.43	95.11	180.66	132.61	211.31	932.01	54.345	400.9	957.04
Q9NZT1	298.25	216.6	409.24	1449	357.72	576.63	834.61	51.793	396.7	1440.5	298.25	216.6	409.24	1449	357.72	576.63	834.61	51.793	396.7	1440.5
Q9P1F3	37.406	37.531	67.728	147.64	76.138	308.5	136.93	0	49.729	530.07	37.406	37.531	67.728	147.64	76.138	308.5	136.93	0	49.729	530.07
Q9UH77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UMX1	218.35	135.06	418.77	654.45	171.07	3007	628.13	159.49	201.92	2458	218.35	135.06	418.77	654.45	171.07	3007	628.13	159.49	201.92	2458
Q9UN81	404.51	549.13	383.26	3047.6	1112.7	400.08	1991.8	471.33	360.59	11854	404.51	549.13	383.26	3047.6	1112.7	400.08	1991.8	471.33	360.59	11854
Q9UQ80	186.72	455.97	262.57	423.79	388.48	320.65	611.49	222.03	459.64	5587.9	186.72	455.97	262.57	423.79	388.48	320.65	611.49	222.03	459.64	5587.9
REV__O15440	2208.4	5808	4002	4499.9	2468.6	4521.2	3446.2	586.49	8258.4	14552	2208.4	5808	4002	4499.9	2468.6	4521.2	3446.2	586.49	8258.4	14552
REV__P22466	143.71	182.71	1256.1	384.05	255.82	1975.2	681.01	154.9	635.45	2511.9	143.71	182.71	1256.1	384.05	255.82	1975.2	681.01	154.9	635.45	2511.9
REV__P42285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__Q86T90	46.769	136.12	116.01	5581.5	158.72	376.93	398.54	0	67.757	474.77	46.769	136.12	116.01	5581.5	158.72	376.93	398.54	0	67.757	474.77
